IND_ID,Strain_ID
IND595,HpGP-PER-021
IND596,HpGP-SPA-707
IND597,HpGP-COL-208
IND598,HpGP-RUS-004
IND599,HpGP-TUR-007
IND600,HpGP-SGP-013
IND601,HpGP-ZAF-001
IND602,HpGP-SPA-503
IND603,MGms203
IND604,HpGP-MAL-023
IND605,HpGP-LAT-032
IND606,HpGP-POR-011
IND607,HpGP-ZAF-006
IND608,HpGP-USA-102
IND609,India7
IND610,HpGP-CHI-026
IND611,HpGP-USA-437
IND612,Pt-7739
IND613,98-10
IND614,HpGP-MAL-010
IND615,Neuguinea42
IND616,HpGP-CHI-014
IND617,HpGP-COL-307
IND618,HpGP-JAP-021
IND619,HpGP-USA-205
IND620,MG2005-98
IND621,HpGP-KGZ-008
IND622,HpGP-USA-419
IND623,HpGP-VNM-003
IND624,Khanty17
IND625,HpGP-TUR-023
IND626,HpGP-BGR-003
IND627,HpGP-LIT-030
IND628,HpGP-SPA-325
IND629,HpGP-PRI-002
IND630,HpGP-USA-417
IND631,HpGP-COL-105
IND632,HpGP-SPA-802
IND633,SA252C
IND634,HpGP-FRA-001
IND635,HpGP-MMR-003
IND636,Nic30_A
IND637,HpGP-USA-429
IND638,HpGP-SPA-207
IND639,HpGP-BRA-012
IND640,HpGP-SPA-306
IND641,HpGP-LIT-013
IND642,HpGP-USA-305
IND643,HpGP-PER-113
IND644,HpGP-USA-428
IND645,HpGP-KOR-105
IND646,HpGP-HON-003
IND647,HpGP-LIT-006
IND648,CPY1124
IND649,HpGP-GRE-018
IND650,HpGP-USA-304
IND651,HpGP-TWN-019
IND652,HpGP-RUS-007
IND653,HpGP-FRA-005
IND654,HpGP-SGP-036
IND655,HpGP-SPA-324
IND656,HpGP-HON-023
IND657,HpGP-KOR-047
IND658,HpGP-GER-019
IND659,HpGP-COL-113
IND660,HpGP-NPL-007
IND661,HpGP-SPA-006
IND662,HpGP-ISR-006
IND663,HpGP-JAP-105
IND664,HpGP-LIT-032
IND665,HpGP-ALG-003
IND666,HpGP-PER-112
IND667,HpGP-KOR-001
IND668,HpGP-SPA-406
IND669,HpGP-SWT-008
IND670,HpGP-USA-202
IND671,SA156C
IND672,HpGP-PER-116
IND673,Even14
IND674,HpGP-SWE-030
IND675,HpGP-ITA-008
IND676,HpGP-SPA-322
IND677,HpGP-TWN-026
IND678,HpGP-NPL-005
IND679,HpGP-SGP-002
IND680,Yangon142
IND681,HpGP-JAP-009
IND682,HpGP-TWN-028
IND683,HpGP-PRI-001
IND684,Nic24_A
IND685,Pt-7757
IND686,HpGP-CRI-003
IND687,HpGP-SPA-601
IND688,GC65-HL
IND689,HpGP-SPA-314
IND690,HpGP-SPA-506
IND691,HpGP-ISR-002
IND692,HpGP-HON-027
IND693,HpGP-NPL-012
IND694,HpGP-POL-109
IND695,HpGP-USA-104
